iter	Passed	Remaining
1416	31457	12942
1417	31479	12920
1418	31502	12898
1419	31524	12876
1420	31545	12853
1421	31570	12832
1422	31597	12812
1423	31621	12790
1424	31643	12768
1425	31664	12745
1426	31686	12723
1427	31710	12701
1428	31733	12680
1429	31756	12658
1430	31779	12636
1431	31803	12614
1432	31826	12592
1433	31848	12570
1434	31871	12548
1435	31893	12526
1436	31915	12504
1437	31938	12482
1438	31960	12459
1439	31982	12437
1440	32004	12415
1441	32026	12393
1442	32050	12371
1443	32074	12349
1444	32097	12328
1445	32118	12305
1446	32142	12283
1447	32165	12261
1448	32188	12240
1449	32210	12217
1450	32236	12196
1451	32257	12174
1452	32282	12152
1453	32303	12130
1454	32324	12107
1455	32346	12085
1456	32370	12063
1457	32391	12041
1458	32413	12018
1459	32435	11996
1460	32458	11974
1461	32504	11961
1462	32532	11941
1463	32556	11919
1464	32580	11897
1465	32632	11886
1466	32656	11864
1467	32679	11842
1468	32700	11820
1469	32723	11798
1470	32746	11776
1471	32767	11753
1472	32788	11730
1473	32810	11708
1474	32831	11685
1475	32852	11663
1476	32874	11640
1477	32896	11618
1478	32918	11595
1479	32940	11573
1480	32962	11551
1481	32983	11528
1482	33005	11506
1483	33028	11484
1484	33049	11461
1485	33071	11439
1486	33093	11416
1487	33115	11394
1488	33138	11372
1489	33159	11349
1490	33181	11327
1491	33201	11304
1492	33224	11282
1493	33246	11260
1494	33269	11238
1495	33292	11216
1496	33315	11194
1497	33340	11172
1498	33362	11150
1499	33383	11127
1500	33404	11105
1501	33428	11083
1502	33451	11061
1503	33474	11039
1504	33497	11017
1505	33518	10994
1506	33541	10972
1507	33562	10949
1508	33582	10927
1509	33604	10904
1510	33625	10882
1511	33646	10859
1512	33669	10837
1513	33691	10815
1514	33712	10792
1515	33733	10769
1516	33756	10747
1517	33778	10725
1518	33802	10703
1519	33827	10682
1520	33855	10662
1521	33878	10639
1522	33901	10617
1523	33925	10596
1524	33947	10573
1525	33970	10551
1526	33993	10529
1527	34020	10508
1528	34043	10486
1529	34067	10465
1530	34090	10442
1531	34113	10420
1532	34135	10398
1533	34158	10376
1534	34180	10354
1535	34203	10332
1536	34224	10309
1537	34249	10288
1538	34271	10265
1539	34295	10244
1540	34317	10221
1541	34340	10199
1542	34361	10177
1543	34384	10154
1544	34405	10132
1545	34427	10110
1546	34450	10087
1547	34471	10065
1548	34493	10042
1549	34515	10020
1550	34536	9997
1551	34558	9975
1552	34579	9952
1553	34601	9930
1554	34622	9908
1555	34646	9886
1556	34668	9863
1557	34688	9841
1558	34711	9818
1559	34732	9796
1560	34754	9773
1561	34775	9751
1562	34797	9729
1563	34818	9706
1564	34841	9684
1565	34862	9661
1566	34884	9639
1567	34904	9616
1568	34926	9594
1569	34948	9571
1570	34969	9549
